,PROPERTY TYPE,ADDRESS,LOCATION,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,DAYS ON MARKET,HOA/MONTH,URL
4603,Single Family Residential 2018,Ashland Auburn WA 98092,Bridges,549950.0,4,2.5,304,96799,83.95428033866416,274.,http://www.redfin.com/WA/Auburn/Bridges/Ashland/home/145547832
4604,Single Family Residential 2018,Meridian Auburn WA 98092,Bridges,564950.0,5,3,308,96799,83.95428033866416,274.,http://www.redfin.com/WA/Auburn/Bridges/Meridian/home/145544348
4605,Single Family Residential 2018,The Buckeye Auburn WA 98092,Willow Place,705000.0,3,1.5,251,96799,83.95428033866416,274.,http://www.redfin.com/WA/Auburn/Willow-Place/The-Buckeye/home/145205567
4606,Single Family Residential 2018,The Benson Auburn WA 98092,Willow Place,715000.0,3,2,271,96799,83.95428033866416,274.,http://www.redfin.com/WA/Auburn/Willow-Place/The-Benson/home/145205566
4607,Single Family Residential 2018,The Edison Auburn WA 98092,Willow Place,620000.0,5,2.5,292,96799,83.95428033866416,274.,http://www.redfin.com/WA/Auburn/Willow-Place/The-Edison/home/145205565
4608,Single Family Residential 2018,The Carlisle Auburn WA 98092,Willow Place,600000.0,4,2.5,300,96799,83.95428033866416,274.,http://www.redfin.com/WA/Auburn/Willow-Place/The-Carlisle/home/145205564
4609,Single Family Residential 2018,The Dover Auburn WA 98092,Willow Place,615000.0,4,2.5,322,96799,83.95428033866416,274.,http://www.redfin.com/WA/Auburn/Willow-Place/The-Dover/home/145205563
4610,Single Family Residential 2018,The Ambrose Auburn WA 98092,Willow Place,710000.0,3,2,254,96799,83.95428033866416,274.,http://www.redfin.com/WA/Auburn/Willow-Place/The-Ambrose/home/145205562
4611,Single Family Residential 2018,18605 7th Ave S Burien WA 98148,Burien,395000.0,3,1,123,10801,5.0,274.,http://www.redfin.com/WA/Burien/18605-7th-Ave-S-98148/home/339228
4612,Single Family Residential 2018,16519 4th Ave S Burien WA 98148,Blakley Manor,460000.0,3,1.75,122,8395,6.0,274.,http://www.redfin.com/WA/Burien/16519-4th-Ave-S-98148/home/338440
4613,Townhouse 2018,19439 1st Ave S Unit E2 Normandy Park WA 98148,Normandy Park,465000.0,2,2.5,173,96799,11.0,304.,http://www.redfin.com/WA/Normandy-Park/19439-1st-Ave-S-98148/unit-E2/home/108258441
4614,Single Family Residential 2018,16233 2nd Place S #13 Burien WA 98148,Burien,649000.0,4,3.5,226,2795,13.0,140.,http://www.redfin.com/WA/Burien/16233-2nd-Pl-S-98148/unit-13/home/12538724
4615,Single Family Residential 2018,19715 10th Ave S Des Moines WA 98148,Des Moines,449950.0,4,2,200,9081,17.0,274.,http://www.redfin.com/WA/Des-Moines/19715-10th-Ave-S-98148/home/339938
4616,Single Family Residential 2018,16262 2nd Place S #5 Burien WA 98148,Blakley Manor,519000.0,3,2.5,191,330584,19.0,130.,http://www.redfin.com/WA/Burien/16262-2nd-Pl-S-98148/unit-5/home/17383404
4617,Single Family Residential 2018,219 S 172nd Place Burien WA 98148,Blakley Manor,599000.0,3,2.5,250,10500,21.0,274.,http://www.redfin.com/WA/Burien/219-S-172nd-Pl-98148/home/338951
4618,Single Family Residential 2018,131 S 199th St Des Moines WA 98148,North Hill,450000.0,3,2,127,16530,24.0,274.,http://www.redfin.com/WA/Des-Moines/131-S-199th-St-98148/home/337273
4619,Vacant Land 2018,1983 X Des Moines Memorial Dr S Des Moines WA 98148,North Hill,124900.0,0,2.56,256,11402,68.0,274.,http://www.redfin.com/WA/Des-Moines/1983-X-Des-Moines-Memorial-Dr-Unknown/home/145127207
4620,Vacant Land 2018,198 Des Moines Memorial Dr S Des Moines WA 98148,North Hill,124900.0,0,2.56,256,9926,68.0,274.,http://www.redfin.com/WA/Des-Moines/198-Des-Moines-Memorial-Dr-Unknown/home/144428995
4621,Condo/Co-op 2018,236 S 152nd St Unit A103 Burien WA 98148,Downtown Burien,149900.0,1,1,554,96799,206.0,200.,http://www.redfin.com/WA/Burien/236-S-152nd-St-98148/unit-A103/home/144185295
4622,Single Family Residential 2018,Fallon Des Moines WA 98148,Blueberry Lane,566990.0,3,3.5,282,96799,83.95428033866416,274.,http://www.redfin.com/WA/Des-Moines/Blueberry-Lane/Fallon/home/144729276
4623,Single Family Residential 2018,Larissa Des Moines WA 98148,Blueberry Lane,563990.0,4,2.5,294,96799,83.95428033866416,274.,http://www.redfin.com/WA/Des-Moines/Blueberry-Lane/Larissa/home/144729272
4624,Single Family Residential 2018,Foster Des Moines WA 98148,Blueberry Lane,615990.0,3,2.5,236,96799,83.95428033866416,274.,http://www.redfin.com/WA/Des-Moines/Blueberry-Lane/Foster/home/144729273
4625,Single Family Residential 2018,Jefferson Des Moines WA 98148,Blueberry Lane,645537.0,4,2.5,260,96799,83.95428033866416,274.,http://www.redfin.com/WA/Des-Moines/Blueberry-Lane/Jefferson/home/144729274
4626,Single Family Residential 2018,Leo Des Moines WA 98148,Blueberry Lane,531990.0,3,2.5,255,96799,83.95428033866416,274.,http://www.redfin.com/WA/Des-Moines/Blueberry-Lane/Leo/home/144729275
4627,Single Family Residential 2018,15216 Mink Rd NE Woodinville WA 98077,Woodinville,849000.0,3,2.25,232,67518,4.0,274.,http://www.redfin.com/WA/Woodinville/15216-Mink-Rd-NE-98077/home/273337
4628,Single Family Residential 2018,22407 NE 195th St Woodinville WA 98077,Lake Tuck,780000.0,3,2.25,236,50965,5.0,100.,http://www.redfin.com/WA/Woodinville/22407-NE-195th-St-98077/home/273192
4629,Single Family Residential 2018,14725 232 Ave NE Woodinville WA 98077,Woodinville,6888000.0,8,7.5,878,317116,5.0,274.,http://www.redfin.com/WA/Woodinville/14725-232nd-Ave-NE-98077/home/272132
4630,Single Family Residential 2018,14628 Bear Creek Rd NE Woodinville WA 98077,Bear Creek,2495000.0,4,4.75,525,140699,5.0,274.,http://www.redfin.com/WA/Woodinville/14628-Bear-Creek-Rd-NE-98077/home/11902519
4631,Single Family Residential 2018,15720 232nd Ave NE Woodinville WA 98077,East Woodinville,1049000.0,4,2.5,284,87991,5.0,274.,http://www.redfin.com/WA/Woodinville/15720-232nd-Ave-NE-98077/home/273617
4632,Single Family Residential 2018,20612 NE 142nd St Woodinville WA 98077,Bear Creek Country Club,950000.0,3,2.75,298,12357,5.0,220.,http://www.redfin.com/WA/Woodinville/20612-NE-142nd-St-98077/home/452105
4633,Single Family Residential 2018,13949 225th Place NE Woodinville WA 98077,Lake Of The Woods,1194000.0,4,2.5,350,35001,5.0,58.0,http://www.redfin.com/WA/Woodinville/13949-225th-Pl-NE-98077/home/451999
4634,Vacant Land 2018,147 223rd Ave NE Woodinville WA 98077,Ring Hill,250000.0,0,2.56,256,220849,11.0,274.,http://www.redfin.com/WA/Woodinville/147-223rd-Ave-NE-98077/home/145605237
4635,Single Family Residential 2018,23819 NE 190th Woodinville WA 98077,East Woodinville,679950.0,3,1.75,150,216928,12.0,274.,http://www.redfin.com/WA/Woodinville/23819-NE-190th-St-98077/home/271928
4636,Single Family Residential 2018,20909 NE 160th St Woodinville WA 98077,Woodinville,939000.0,4,2.5,286,57063,18.0,274.,http://www.redfin.com/WA/Woodinville/20909-NE-160th-St-98077/home/22593369
4637,Single Family Residential 2018,13824 196th Ave NE Woodinville WA 98077,Bear Creek,929950.0,2,0.75,153,123151,19.0,274.,http://www.redfin.com/WA/Woodinville/13824-196th-Ave-NE-98077/home/452157
4638,Single Family Residential 2018,17216 195th Place NE Woodinville WA 98077,Cottage Lake,725000.0,4,2.5,246,90968,20.0,274.,http://www.redfin.com/WA/Woodinville/17216-195th-Pl-NE-98077/home/273092
4639,Single Family Residential 2018,18320 204th Ave NE Woodinville WA 98077,Paradise Lake,849000.0,4,3.25,411,261360,25.0,274.,http://www.redfin.com/WA/Woodinville/18320-204th-Ave-NE-98077/home/273260
4640,Single Family Residential 2018,14122 205th Ave NE Woodinville WA 98077,Bear Creek Country Club,1389000.0,4,3,396,12001,25.0,220.,http://www.redfin.com/WA/Woodinville/14122-205th-Ave-NE-98077/home/452356
4641,Single Family Residential 2018,14724 219 Ave NE Woodinville WA 98077,Ring Hill,837500.0,4,3.5,223,54014,27.0,274.,http://www.redfin.com/WA/Woodinville/14724-219th-Ave-NE-98077/home/272197
4642,Single Family Residential 2018,15423 232nd Ave NE Woodinville WA 98077,Woodinville,1375000.0,4,3.25,359,210394,45.0,274.,http://www.redfin.com/WA/Woodinville/15423-232nd-Ave-NE-98077/home/273485
4643,Single Family Residential 2018,14118 221st Ave NE Woodinville WA 98077,Lake Of The Woods,2188000.0,4,3.75,609,75358,46.0,58.0,http://www.redfin.com/WA/Woodinville/14118-221st-Ave-NE-98077/home/452362
4644,Single Family Residential 2018,17313 220th Place NE Woodinville WA 98077,Ring Hill,724000.0,3,2.5,211,84942,47.0,274.,http://www.redfin.com/WA/Woodinville/17313-220th-Pl-NE-98077/home/273114
4645,Vacant Land 2018,22920 105th Ave SE Woodinville WA 98077,Maltby,238000.0,0,2.56,256,9583,77.0,274.,http://www.redfin.com/WA/Woodinville/22920-105th-Ave-SE-98077/home/2680827
4646,Single Family Residential 2018,13740 220th Place NE Woodinville WA 98077,Lake Of The Woods,1985000.0,4,5,593,35159,95.0,55.0,http://www.redfin.com/WA/Woodinville/13740-220th-Pl-NE-98077/home/452297
4647,Single Family Residential 2018,19011 NE 226th Ave Woodinville WA 98077,Woodinville,2700000.0,3,1.5,204,795405,270.0,274.,http://www.redfin.com/WA/Woodinville/19011-226th-Ave-NE-98077/home/273370
4648,Multi-Family (2-4 Unit) 2018,18104 62nd Ave NE Kenmore WA 98028,Kenmore,799950.0,5,3.5,256,9297,1.0,274.,http://www.redfin.com/WA/Kenmore/18104-62nd-Ave-NE-98028/home/94546
4649,Townhouse 2018,6454 NE 181st St #102 Kenmore WA 98028,Kenmore,779900.0,4,2.25,183,928,2.0,274.,http://www.redfin.com/WA/Kenmore/6454-NE-181st-St-98028/unit-102/home/145725669
4650,Mobile/Manufactured Home 2018,17435 83rd Ct NE Kenmore WA 98028,Kenmore,469000.0,2,2,149,15350,2.0,274.,http://www.redfin.com/WA/Kenmore/17435-83rd-Ct-NE-98028/home/22479728
4651,Single Family Residential 2018,8413 NE 169th St Kenmore WA 98028,Sammamish River,749000.0,4,2.5,204,24900,3.0,274.,http://www.redfin.com/WA/Kenmore/8413-NE-169th-St-98028/home/285177
4652,Condo/Co-op 2018,7711 NE 175th St Unit B309 Kenmore WA 98028,Kenmore,395000.0,3,2,117,96799,3.0,527.,http://www.redfin.com/WA/Kenmore/7711-NE-175th-St-98028/unit-B309/home/12305084
4653,Single Family Residential 2018,5718 NE 204th Place Kenmore WA 98028,Kenmore,535000.0,3,2,132,7868,3.0,274.,http://www.redfin.com/WA/Kenmore/5718-NE-204th-Pl-98028/home/93924
4654,Single Family Residential 2018,14315 73rd Ave NE Kenmore WA 98028,Inglewood/Inglemoor,700000.0,5,2.75,230,10492,3.0,274.,http://www.redfin.com/WA/Kenmore/14315-73rd-Ave-NE-98028/home/276772
4655,Single Family Residential 2018,8308 NE 163rd Place Kenmore WA 98028,Kenmore,900000.0,5,3.5,363,5047,4.0,274.,http://www.redfin.com/WA/Kenmore/8308-NE-163rd-Pl-98028/home/22717065
4656,Single Family Residential 2018,7409 NE 200th St Kenmore WA 98028,Kenmore,800000.0,4,2.5,228,5039,4.0,274.,http://www.redfin.com/WA/Kenmore/7409-NE-200th-St-98028/home/21617581
4657,Single Family Residential 2018,19536 55th Ave NE Kenmore WA 98028,Lake Forest Park Estates,525000.0,3,2,138,12000,4.0,274.,http://www.redfin.com/WA/Kenmore/19536-55th-Ave-NE-98028/home/93993
4658,Single Family Residential 2018,7223 NE 175th St #104 Kenmore WA 98028,Kenmore,320000.0,2,1.75,106,17799,4.0,450.,http://www.redfin.com/WA/Kenmore/7223-NE-175th-St-98028/unit-104/home/4477
4659,Single Family Residential 2018,16029 Inglewood Rd NE Kenmore WA 98028,Inglewood/Inglemoor,650000.0,3,2.75,268,11914,5.0,17.0,http://www.redfin.com/WA/Kenmore/16029-Inglewood-Rd-NE-98028/home/279955
4660,Vacant Land 2018,8160 NE 150th St Kenmore WA 98011,Inglewood/Inglemoor,349950.0,0,2.56,256,6050,5.0,274.,http://www.redfin.com/WA/Kenmore/8160-NE-150th-St-98028/home/145661503
4661,Single Family Residential 2018,8420 NE 153rd St Kenmore WA 98028,Moorlands,849995.0,4,2.75,282,4548,6.0,28.0,http://www.redfin.com/WA/Kenmore/8420-NE-153rd-St-98028/home/145656334
4662,Condo/Co-op 2018,19010 68th Ave NE Unit B101 Kenmore WA 98028,Kenmore,450000.0,3,2,143,104229,6.0,275.,http://www.redfin.com/WA/Kenmore/19010-68th-Ave-NE-98028/unit-B101/home/46941
4663,Single Family Residential 2018,9128 NE 152nd Place Kenmore WA 98028,Inglewood/Inglemoor,2295000.0,6,5.25,648,15291,6.0,274.,http://www.redfin.com/WA/Kenmore/9128-NE-152nd-Pl-98028/home/22524668
4664,Single Family Residential 2018,8314 NE 163rd Place Kenmore WA 98028,Kenmore,1099950.0,5,3.25,372,7111,7.0,104.,http://www.redfin.com/WA/Kenmore/8314-NE-163rd-Pl-98028/home/145617298
4665,Single Family Residential 2018,16419 84th Ave NE Kenmore WA 98028,Kenmore,1024950.0,4,3.25,321,6920,7.0,104.,http://www.redfin.com/WA/Kenmore/16419-84th-Ave-NE-98028/home/145617300
4666,Mobile/Manufactured Home 2018,7301 NE 175TH St #327 Kenmore WA 98028,East Kenmore,39950.0,1,1,115,96799,10.0,274.,http://www.redfin.com/WA/Kenmore/7301-NE-175th-St-98028/unit-327/home/145631132
4667,Single Family Residential 2018,19621 66th Ave NE Kenmore WA 98028,Kenmore,839000.0,5,2.75,384,11371,10.0,274.,http://www.redfin.com/WA/Kenmore/19621-66th-Ave-NE-98028/home/283259
4668,Single Family Residential 2018,19933 82nd Place NE Kenmore WA 98028,Kenmore,849950.0,6,3,313,4529,11.0,44.0,http://www.redfin.com/WA/Kenmore/19933-82nd-Pl-NE-98028/home/8186537
4669,Condo/Co-op 2018,7223 NE 175th St #208 Kenmore WA 98028,Kenmore,247500.0,1,1,772,17799,11.0,343.,http://www.redfin.com/WA/Kenmore/7223-NE-175th-St-98028/unit-208/home/65155
4670,Townhouse 2018,18107 65th Ave NE #102 Kenmore WA 98028,Kenmore,744900.0,4,2.25,171,730,12.0,274.,http://www.redfin.com/WA/Kenmore/18107-65th-Ave-NE-98028/unit-102/home/145593607
4671,Townhouse 2018,18107 65th Ave NE #101 Kenmore WA 98028,Kenmore,684900.0,3,2.25,159,693,12.0,274.,http://www.redfin.com/WA/Kenmore/18107-65th-Ave-NE-98028/unit-101/home/145592021
4672,Single Family Residential 2018,7246 NE 150th ST Kenmore WA 98028,Kenmore,798000.0,4,2.5,271,6293,12.0,274.,http://www.redfin.com/WA/Kenmore/7246-NE-150th-St-98028/home/276791
4673,Single Family Residential 2018,8302 NE 203rd Street (Lot 1) Kenmore WA 98028,Kenmore,1068950.0,4,3.75,308,5590,13.0,274.,http://www.redfin.com/WA/Kenmore/8302-NE-203rd-St-98028/home/145584484
4674,Single Family Residential 2018,8318 NE 203rd Street (Lot 5) Kenmore WA 98028,Kenmore,1249950.0,4,3,365,5730,13.0,274.,http://www.redfin.com/WA/Kenmore/8318-NE-203rd-St-98028/home/145584364
4675,Single Family Residential 2018,16508 76th Ave NE Kenmore WA 98028,Kenmore,839950.0,5,3.5,270,7442,17.0,274.,http://www.redfin.com/WA/Kenmore/16508-76th-Ave-NE-98028/home/274925
4676,Condo/Co-op 2018,17827 80th Ave. NE Unit A201 Kenmore WA 98028,Kenmore,419950.0,3,2.5,135,64646,19.0,448.,http://www.redfin.com/WA/Kenmore/17827-80th-Ave-NE-98028/unit-A201/home/42429
4677,Single Family Residential 2018,5723 NE 197th St Kenmore WA 98028,Kenmore,925000.0,4,2.75,290,5563,19.0,274.,http://www.redfin.com/WA/Kenmore/5723-NE-197th-St-98028/home/109662047
4678,Single Family Residential 2018,8505 NE 175th St Kenmore WA 98028,Kenmore,898000.0,4,2.5,260,14965,20.0,274.,http://www.redfin.com/WA/Kenmore/8505-NE-175th-St-98028/home/282659
4679,Single Family Residential 2018,6178 NE 187th Place Kenmore WA 98028,Uplake,1145000.0,3,3,288,10238,20.0,274.,http://www.redfin.com/WA/Kenmore/6178-NE-187th-Pl-98028/home/95088
4680,Townhouse 2018,6454 NE 181st St #103 Kenmore WA 98028,Kenmore,779900.0,3,2.25,183,932,24.0,274.,http://www.redfin.com/WA/Kenmore/6454-NE-181st-St-98028/unit-103/home/145516327
4681,Single Family Residential 2018,16226 81st Place NE Kenmore WA 98028,Moorlands,499950.0,3,1,122,39653,32.0,274.,http://www.redfin.com/WA/Kenmore/16226-81st-Pl-NE-98028/home/275104
4682,Single Family Residential 2018,14900 89th Place NE Kenmore WA 98028,Inglewood/Inglemoor,869950.0,4,1.75,263,14172,33.0,274.,http://www.redfin.com/WA/Kenmore/14900-89th-Pl-NE-98028/home/277740
4683,Vacant Land 2018,8322 NE 166th St Kenmore WA 98028,Kenmore,700000.0,0,2.56,256,35185,52.0,274.,http://www.redfin.com/WA/Kenmore/8322-NE-166th-St-98028/home/284649
4684,Single Family Residential 2018,6314 NE 151st St Kenmore WA 98028,Arrowhead,899900.0,4,3.25,355,39351,53.0,30.0,http://www.redfin.com/WA/Kenmore/6314-NE-151st-St-98028/home/282353
4685,Single Family Residential 2018,8124 NE 166th Kenmore WA 98028,Moorlands,785000.0,3,3.5,333,39081,61.0,274.,http://www.redfin.com/WA/Kenmore/8124-NE-166th-St-98028/home/284665
4686,Single Family Residential 2018,18327 83rd Ave NE Kenmore WA 98028,Kenmore,1675000.0,5,3.25,507,21617,80.0,274.,http://www.redfin.com/WA/Kenmore/18327-83rd-Ave-NE-98028/home/62123137
4687,Vacant Land 2018,15016 59th Place NE Kenmore WA 98028,Arrowhead,2225000.0,0,2.56,256,32676,104.0,274.,http://www.redfin.com/WA/Kenmore/15016-59th-Pl-NE-98028/home/280529
4688,Vacant Land 2018,6330 NE 181 St Kenmore WA 98028,Kenmore,1500000.0,0,2.56,256,11100,108.0,274.,http://www.redfin.com/WA/Kenmore/6330-NE-181st-St-98028/home/94292
4689,Vacant Land 2018,154 Juanita Dr NE Kenmore WA 98028,Arrowhead,250000.0,0,2.56,256,141570,1673.0,274.,http://www.redfin.com/WA/Kenmore/154-Juanita-Dr-NE-98028/home/52049810
4690,Single Family Residential 2018,7540 NE 203rd St Kenmore WA 98028,Kenmore,698950.0,4,2.5,186,4246,5.0,274.,http://www.redfin.com/WA/Kenmore/7540-NE-203rd-St-98028/home/282980
4691,Single Family Residential 2018,16633 Simonds Rd NE Kenmore WA 98028,Kenmore,595950.0,2,1,120,13503,31.0,274.,http://www.redfin.com/WA/Kenmore/16633-Simonds-Rd-NE-98028/home/276507
4692,Single Family Residential 2018,Floorplan 3215 Kenmore WA 98028,Northshore Ridge,999950.0,4,3.5,321,96799,83.95428033866416,274.,http://www.redfin.com/WA/Kenmore/Northshore-Ridge/Floorplan-3215/home/145641800
4693,Single Family Residential 2018,Floorplan 3725 Kenmore WA 98028,Northshore Ridge,1099950.0,5,3.5,372,96799,83.95428033866416,274.,http://www.redfin.com/WA/Kenmore/Northshore-Ridge/Floorplan-3725/home/145641799
4694,Single Family Residential 2018,Northshore Ridge - 3215 Kenmore WA 98028,Northshore Ridge,999950.0,4,3.5,321,96799,83.95428033866416,274.,http://www.redfin.com/WA/Kenmore/Northshore-Ridge/Northshore-Ridge-3215/home/145617299
4695,Single Family Residential 2018,Northshore Ridge - 3725 Kenmore WA 98028,Northshore Ridge,1099950.0,5,3.5,372,96799,83.95428033866416,274.,http://www.redfin.com/WA/Kenmore/Northshore-Ridge/Northshore-Ridge-3725/home/145617297
4696,Single Family Residential 2018,3818 142nd Place NE Bellevue WA 98007,Bridle Trails,1360000.0,4,2.5,264,31939,4.0,25.0,http://www.redfin.com/WA/Bellevue/3818-142nd-Pl-NE-98007/home/430355
4697,Condo/Co-op 2018,14636 NE 45th St Unit C3 Bellevue WA 98007,Bellevue,374950.0,1,1,833,425058,4.0,384.,http://www.redfin.com/WA/Bellevue/14636-NE-45th-St-98007/unit-C3/home/29101
