,PROPERTY TYPE,ADDRESS,LOCATION,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,DAYS ON MARKET,HOA/MONTH,URL
122,Townhouse 2018,Azalea - Lot 10 Everett WA 98208,Woodland Park Estates,437438.0,3,2.5,170,97298,156,212.,http://www.redfin.com/WA/Everett/Woodland-Park-Estates/Azalea-Lot-10/home/147111512
123,Townhouse 2018,Azalea - Lot 13 Everett WA 98208,Woodland Park Estates,437167.0,3,2.5,170,97298,156,212.,http://www.redfin.com/WA/Everett/Woodland-Park-Estates/Azalea-Lot-13/home/147111511
124,Townhouse 2018,Florence - Lot 25 Everett WA 98208,Woodland Park Estates,420202.0,3,2.5,149,97298,156,212.,http://www.redfin.com/WA/Everett/Woodland-Park-Estates/Florence-Lot-25/home/147111510
125,Townhouse 2018,Florence - Lot 9 Everett WA 98208,Woodland Park Estates,403660.0,3,2.5,149,97298,156,212.,http://www.redfin.com/WA/Everett/Woodland-Park-Estates/Florence-Lot-9/home/147111509
126,Townhouse 2018,Florence - Lot 26 Everett WA 98208,Woodland Park Estates,402193.0,3,2.5,149,97298,156,212.,http://www.redfin.com/WA/Everett/Woodland-Park-Estates/Florence-Lot-26/home/147111508
127,Townhouse 2018,Florence - Lot 27 Everett WA 98208,Woodland Park Estates,418129.0,3,2.5,149,97298,156,212.,http://www.redfin.com/WA/Everett/Woodland-Park-Estates/Florence-Lot-27/home/147111507
128,Townhouse 2018,Florence - Lot 28 Everett WA 98208,Woodland Park Estates,417385.0,3,2.5,149,97298,156,212.,http://www.redfin.com/WA/Everett/Woodland-Park-Estates/Florence-Lot-28/home/147111506
129,Townhouse 2018,Florence - Lot 29 Everett WA 98208,Woodland Park Estates,403640.0,3,2.5,149,97298,156,212.,http://www.redfin.com/WA/Everett/Woodland-Park-Estates/Florence-Lot-29/home/147111505
130,Townhouse 2018,Florence - Lot 30 Everett WA 98208,Woodland Park Estates,416161.0,3,2.5,149,97298,156,212.,http://www.redfin.com/WA/Everett/Woodland-Park-Estates/Florence-Lot-30/home/147111504
131,Single Family Residential 2018,3914 W Barrett St Seattle WA 98199,Magnolia,4250000.0,5,6.25,724,8552,358,212.,http://www.redfin.com/WA/Seattle/3914-W-Barrett-St-98199/home/126056
132,Single Family Residential 2018,2608 39th Ave W Seattle WA 98199,Magnolia,1600000.0,3,4.25,417,9723,497,212.,http://www.redfin.com/WA/Seattle/2608-39th-Ave-W-98199/home/125196
133,Multi-Family (2-4 Unit) 2018,21 107th St SW Everett WA 98204,Everett Mall,590000.0,4,2,157,16988,89,212.,http://www.redfin.com/WA/Everett/21-107th-St-SW-98204/home/2704875
134,Single Family Residential 2018,9020 Corbin Dr Everett WA 98204,Everett,450000.0,3,1,956,14355,95,212.,http://www.redfin.com/WA/Everett/9020-Corbin-Dr-98204/home/2662952
135,Townhouse 2018,12308 (Lot 8) 29th Ave W Everett WA 98204,South Everett,539950.0,4,2.5,195,5006,101,27.0,http://www.redfin.com/WA/Everett/12308-29th-Ave-W-98204/home/146033856
